"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109","test_get_all_posts","","Sat Mar 08 21:33:32 ICT 2025","passed","Sat Mar 08 21:33:32 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","105","test_get_nonexistent_post[101]","","Sat Mar 08 21:33:35 ICT 2025","passed","Sat Mar 08 21:33:35 ICT 2025","TestPostsAPI","test_scandinavia","",""
"API принимает PUT-запрос, но фактически не изменяет данные","732","test_update_post_put","","Sat Mar 08 21:33:33 ICT 2025","passed","Sat Mar 08 21:33:33 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","119","test_get_post_by_id[50]","","Sat Mar 08 21:33:33 ICT 2025","passed","Sat Mar 08 21:33:33 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","112","test_get_nonexistent_post[0]","","Sat Mar 08 21:33:35 ICT 2025","passed","Sat Mar 08 21:33:35 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","113","test_get_post_by_id[1]","","Sat Mar 08 21:33:32 ICT 2025","passed","Sat Mar 08 21:33:33 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","798","test_create_post","","Sat Mar 08 21:33:31 ICT 2025","passed","Sat Mar 08 21:33:32 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","732","test_create_post_with_invalid_payload[None-expected_response3]","","Sat Mar 08 21:33:38 ICT 2025","passed","Sat Mar 08 21:33:39 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","111","test_get_post_by_id[100]","","Sat Mar 08 21:33:33 ICT 2025","passed","Sat Mar 08 21:33:33 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","748","test_create_post_with_invalid_payload[payload2-expected_response2]","","Sat Mar 08 21:33:37 ICT 2025","passed","Sat Mar 08 21:33:38 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","125","test_get_nonexistent_post[9999]","","Sat Mar 08 21:33:35 ICT 2025","passed","Sat Mar 08 21:33:35 ICT 2025","TestPostsAPI","test_scandinavia","",""
"API принимает PATCH-запрос, но фактически не изменяет данные","734","test_update_post_patch","","Sat Mar 08 21:33:33 ICT 2025","passed","Sat Mar 08 21:33:34 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","743","test_create_post_with_invalid_payload[payload1-expected_response1]","","Sat Mar 08 21:33:36 ICT 2025","passed","Sat Mar 08 21:33:37 ICT 2025","TestPostsAPI","test_scandinavia","",""
"API принимает DELETE-запрос, но данные не удаляются","312","test_delete_post","","Sat Mar 08 21:33:34 ICT 2025","passed","Sat Mar 08 21:33:35 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","737","test_create_post_with_invalid_json","","Sat Mar 08 21:33:35 ICT 2025","passed","Sat Mar 08 21:33:36 ICT 2025","TestPostsAPI","test_scandinavia","",""
"","723","test_create_post_with_invalid_payload[payload0-expected_response0]","","Sat Mar 08 21:33:36 ICT 2025","passed","Sat Mar 08 21:33:36 ICT 2025","TestPostsAPI","test_scandinavia","",""
